"ID"	"logFC"	"P.Value"
"A_55_P2164694"	"0.2478665095"	"0.0002274036"
"A_52_P127362"	"0.3304393064"	"4.7582418433825E-006"
"A_66_P108468"	"0.110454718"	"0.0072106271"
"A_30_P01033203"	"0.1909073834"	"0.0258727835"
"A_55_P2051414"	"0.1017984617"	"0.018372352"
"A_55_P1993353"	"0.2614777616"	"0.009249857"
"A_30_P01020233"	"0.2831990813"	"0.0257665495"
"A_30_P01022026"	"0.1306957557"	"0.031003981"
"A_52_P45841"	"0.1639919947"	"0.0030087445"
"A_55_P2049597"	"0.0843115595"	"0.183245749"
"A_55_P1974804"	"0.113589416"	"0.2407805038"
"A_30_P01030305"	"0.0992693212"	"0.4188892261"
"A_55_P2179074"	"0.0598309497"	"0.8368106307"
"A_55_P1979650"	"0.0585088866"	"0.2038267106"
"A_52_P1035965"	"0.249172785"	"0.1802956353"
"A_55_P2081885"	"0.0376986944"	"0.0575096328"
"A_52_P409675"	"0.2603423495"	"0.000414697"
"A_55_P2132932"	"0.0961732721"	"0.6708013634"
"A_51_P148478"	"0.2534441289"	"0.1050965978"
"A_52_P745"	"0.0744351218"	"4.66241940452273E-005"
"A_55_P1973543"	"0.1654828413"	"0.5737671682"
"A_51_P396385"	"0.1607212726"	"0.1143006694"
"A_55_P2278093"	"0.1440838324"	"0.0385973051"
"A_55_P2095899"	"0.1590695464"	"0.912195314"
"A_51_P201480"	"2.2461538177"	"1.64136063510581E-014"
"A_55_P2142439"	"0.348497998"	"1.99239557044449E-010"
"A_30_P01020448"	"0.1442684134"	"0.0125944878"
"A_55_P2085165"	"0.1305818175"	"0.2236775851"
"A_55_P2084152"	"0.1315522371"	"0.4386625037"
"A_30_P01027826"	"0.1162842615"	"0.1181155535"
"A_55_P1974869"	"0.2115986768"	"0.3629503536"
"A_30_P01029261"	"0.3009282878"	"0.1435082535"
"A_30_P01028709"	"0.2707201327"	"0.1542858941"
"A_30_P01029850"	"0.2045239387"	"0.0081920341"
"A_30_P01019177"	"0.1879045613"	"0.3621876354"
"A_55_P2272563"	"0.1944855124"	"0.6493653482"
"A_51_P102789"	"1.664261556"	"1.77701622284917E-009"
"A_55_P2055419"	"0.0747265909"	"0.3642909739"
"A_30_P01022480"	"0.1847086051"	"0.0960261664"
"A_55_P2149382"	"0.1697766894"	"0.0129494886"
"A_30_P01019077"	"0.1781302889"	"0.0799020298"
"A_30_P01032336"	"0.101385053"	"0.602922938"
"A_51_P129100"	"0.1370817877"	"0.0978627451"
"A_55_P1958103"	"0.1293516699"	"0.1350753541"
"A_30_P01019598"	"0.1198585631"	"0.5439459047"
"A_51_P141071"	"0.5943922676"	"0.0347852429"
"A_51_P475138"	"0.0859742388"	"0.2580437816"
"A_66_P108178"	"0.0909060597"	"0.0093286167"
"A_51_P462102"	"0.105260431"	"1.12604039255079E-005"
"A_52_P581326"	"0.1304140273"	"0.0896065047"
"A_55_P2081020"	"0.1244986667"	"0.031310693"
"A_51_P137168"	"0.2482302451"	"5.39147775564119E-010"
"A_30_P01018931"	"0.1639269252"	"0.222479132"
"A_51_P108334"	"0.0154533812"	"0.3791717789"
"A_55_P2066737"	"0.3049282494"	"0.0383513058"
"A_66_P125209"	"0.1158256732"	"0.2805012312"
"A_51_P253207"	"0.2182014929"	"0.0816584497"
