ID,logFC,P.Value
gene_4730,-0.926885131,0.0459563716
gene_9186,1.4129894004,0.0258151043
gene_16945,0.5033900708,0.0463563798
gene_2109,0.1183806162,0.0484402392
gene_9807,0.8078998975,0.009449781
gene_17128,-1.0127235226,0.0433691978
gene_2652,-0.1068253301,0.0238432231
gene_10507,-0.0560788402,0.0488700709
gene_3949,-0.0082555956,0.0490266537
gene_8022,0.7465095444,0.0462992181
gene_16208,-0.0736002195,0.0434808017
gene_843,0.5972693658,0.047742551
gene_11429,0.7806967255,0.0456306466
gene_178,-0.4086819013,0.0475811749
gene_2251,-0.189867071,0.0319850116
gene_15343,0.6379938068,0.0392813199
gene_12685,-0.0384725671,0.0420393071
gene_12778,0.0889692902,0.0415905025
gene_5639,0.571956253,0.0465254604
gene_6934,1.3872494781,0.0118957478
gene_8216,0.6377826017,0.0408058564
gene_16186,0.6862569651,0.0514056479
gene_13984,1.0938373816,0.0308049944
gene_615,-0.0733417659,0.0418679965
gene_2262,0.5246176704,0.051799904
gene_11713,0.6175973424,0.049866636
gene_7801,0.0113072588,0.0521543039
gene_3662,0.7994135089,0.0483677354
gene_4167,0.5478419401,0.0398226784
gene_14314,0.0574290827,0.0450763255
gene_9955,-1.3289429713,0.0373729563
gene_14063,-0.9530600367,0.0010183586
gene_16183,0.7529640354,0.0164603723
gene_12013,0.5777357323,0.0483063924
gene_4450,-0.2323794975,0.0525993183
gene_15901,0.548476748,0.0468927573
gene_1138,-0.2872668973,0.0290596084
gene_14469,0.5835391344,0.0528055764
gene_17618,-0.0700659387,0.0484417017
gene_13383,0.6675650215,0.0334505289
gene_9441,0.6358623498,0.0390493923
gene_13394,0.8533431485,0.0107832751
gene_7471,0.0195307592,0.0409772827
gene_6447,-0.1469319776,0.0534442528
gene_9952,-1.4592945163,0.0395176623
gene_11398,0.40611006,0.0524539647
gene_165,0.6315398328,0.051004984
gene_4378,0.0991626304,0.046267159
gene_7840,-0.2138940454,0.0500490554
gene_2896,0.7598703377,0.0374146863
gene_7157,0.5074131189,0.0544870648
gene_3126,1.2627372785,0.0043379444
gene_5987,0.3918718534,0.0519984044
gene_4547,0.4268588337,0.0530479684
gene_15857,0.8767324143,0.043371359
gene_12118,0.5610691309,0.0544725498
gene_853,0.0351404211,0.0498468696
gene_10216,0.6475826498,0.0541218224
gene_1088,0.6781773603,0.0288527456
gene_10413,-1.1910885883,0.0433244459
gene_592,0.7333817396,0.0536856397
gene_16293,-0.2112974632,0.0425779711
gene_17634,0.0135426892,0.0549002879
gene_11389,0.7114782973,0.0326772479
gene_11343,0.543744187,0.0455725273
gene_13117,0.3758992827,0.0499223562
gene_2137,-0.199741977,0.0539535927
gene_6029,-0.8060591447,0.0535241317
gene_7063,0.6065640666,0.0540535638
gene_8868,0.8115970428,0.0565709232
gene_152,0.7760186213,0.049120504
gene_10002,0.7334130015,0.0568411127
gene_10239,0.1340214132,0.0397413498
gene_14677,-0.9618682983,0.0563923846
gene_46,-0.494341631,0.0574585135
gene_2747,-0.8820548452,0.056063977
gene_16147,-0.9708567214,0.0470539046
gene_3162,0.6627428496,0.0469203388
gene_10512,-0.3819085001,0.0539035366
gene_7053,0.2131858972,0.0567341237
gene_13408,-0.4764116952,0.0471194941
gene_6362,0.8627626885,0.0578014785
gene_3122,0.7607983024,0.05242356
gene_587,-0.533904826,0.0516612137
gene_9974,0.6767356711,0.0234668224
gene_5658,-0.3990773011,0.0578940129
gene_16127,-0.5131050852,0.0512685685
gene_15828,-0.3625111325,0.056834024
gene_13411,0.7456814407,0.0567882274
gene_13376,0.7171449079,0.0438649761
gene_5083,-0.2172708802,0.0419469972
gene_11205,0.7688438117,0.0571003876
gene_12122,-0.9742622,0.0448696075
gene_2595,0.622993685,0.0571257761
gene_17301,0.3689545147,0.0578003966
gene_9300,0.5156741892,0.0578676484
gene_1789,0.7176637576,0.0435426757
gene_12579,0.5225139883,0.0594255543
gene_10920,1.1207138209,0.0141046623
gene_16536,-1.0322330268,0.0367379862
gene_831,-0.0969401434,0.0399819797
gene_12106,0.6398249212,0.0491837653
gene_5219,-0.1138744875,0.0606049351
gene_17361,0.3656820744,0.0572541912
gene_9491,0.6041886743,0.0605253235
gene_10708,0.0228029503,0.055761528
gene_1944,0.4563149293,0.0280427161
gene_14527,0.4403366707,0.0517779513
gene_1229,-0.1069508139,0.0370778584
gene_10564,0.7359412161,0.0576864078
gene_3026,-0.0062856621,0.0620553092
gene_4962,0.0987133374,0.0449888528
gene_11323,-0.2730214358,0.0590321446
gene_8899,0.3877722452,0.0609831292
gene_16836,0.6579485128,0.032880259
gene_1240,0.0555148939,0.054067245
gene_12177,0.6281538413,0.0616440212
gene_15787,-0.00084271,0.0148052771
gene_12004,-0.4375781188,0.0411337227
gene_11625,0.7618218896,0.018316893
gene_2754,-0.1040296117,0.0627326847
gene_15520,-0.1096881125,0.0377794096
gene_936,-0.1107414835,0.0627364007
gene_15909,0.6877351307,0.0568488549
gene_2360,0.4413345247,0.0514864078
gene_13940,0.7803999693,0.0257450342
gene_9542,0.5288413481,0.0516041603
gene_6208,-0.7391011893,0.0618132889
gene_16321,-1.0453289648,0.0460333011
gene_5873,0.3751621204,0.0626444648
gene_10410,-0.3783367007,0.0510393264
gene_12587,0.9969655568,0.0519482685
gene_4773,0.5396559636,0.0626842354
gene_11862,0.3107421226,0.0628080686
gene_4404,-0.5262437299,0.0547403685
gene_10752,0.8286549409,0.0172655113
gene_3720,1.0855272679,0.0115444382
gene_3933,0.0189681559,0.0503874985
gene_858,0.801181194,0.0523682607
gene_31,-0.3526595261,0.0580321362
gene_4421,0.7315046497,0.0253480208
gene_3816,-0.1589455429,0.0623890484
gene_10139,-1.1474720832,0.0411435847
gene_11108,-0.3009241153,0.0535983432
gene_1489,0.2094857908,0.0642365656
gene_1711,0.6322286164,0.0562346213
gene_12539,-0.0550418648,0.0446922277
gene_7763,-0.7100367408,0.064927829
gene_2651,0.5967247986,0.0644823024
gene_6324,0.8631015409,0.0548027471
gene_14265,0.4939288361,0.0653811291
